created_at,username,text,sentiment
2024-12-09 18:46:55+00:00,,"RT @Tess_ogar: Cristiano Ronaldo, a global football icon from Madeira, Portugal, and Georgina Rodríguez, a Spanish model and influencer fro…",Neutral
2024-12-09 18:46:55+00:00,,RT @emini_truth31: POV : That one guy that can’t play football but good at ball juggling . https://t.co/4mxbImyS9H,Positive
2024-12-09 18:46:55+00:00,,"A young player in the second division of Egyptian football went viral for all the wrong reasons following his reaction to being substituted. Watch the incident and learn more below ⬇️ 
https://t.co/bhe21P7zCX

#Egypt #AfricanFootball",Positive
2024-12-09 18:46:55+00:00,,"People will sit there and ask why @HerGameToo isn’t needed. Your response is right here 

Freya doesn’t deserve any of the shit she gets, ever, no woman does for wanting to enjoy football and I won’t stop pressing for equality untill we get there 💙 https://t.co/03mx4Kzt4T",Positive
2024-12-09 18:46:55+00:00,,@football_li5 مدينتي 😅❤️,Neutral
2024-12-09 18:46:55+00:00,,RT @AriWasserman: Saying strength of schedule didn't matter is just not true. https://t.co/yMUV56zWPT https://t.co/0LX6Lm0m0y,Negative
2024-12-09 18:46:55+00:00,,@WVSportsNow @MikeAsti11 @CoachJeffMonken @ArmyWP_Football @WVUfootball @CodyNespor @mvukovcan @ASaunders_PGH @PatMcAfeeShow @BruceFeldmanCFB @PeteThamel The transfer portal is open while you are examining this,Neutral
2024-12-09 18:46:55+00:00,,"Dillon Gabriel rises to every occasion. Let’s relive conference championship weekend in college football:
https://t.co/UBWRC7WjqQ",Neutral
2024-12-09 18:46:55+00:00,,"RT @AmorimEra_: 🚨 - BREAKING!!

Nani has just announced his retirement from professional football

WHAT A PLAYER HE WAS!! 🥲❤️ https://t.co/…",Positive
2024-12-09 18:46:55+00:00,,"RT @Lingocoins: From day 1, we engineered the Lingo ecosystem with everyday users in mind. 

Our goal is to grow our user base from 8 milli…",Negative
2024-12-09 18:46:54+00:00,,@CoachSifiso Qnd this is an eye opener that you can still be in football even if you are not a player big up this fela.,Neutral
2024-12-09 18:46:53+00:00,,"@bogtrotter911 @JA17forPOTUS @FurrowhSterling That's like saying just because you don't know who plays offensive guard for a football team that he's not a football player... Your logic is not only flaws, but probably some of the silliest crap I've heard.",Negative
2024-12-09 18:46:53+00:00,,"National champions in baseball 🍊
Ranked #1 in basketball 🍊
College Football playoffs and in the top 10 🍊

These are the good ol’ days. Go VOLS",Positive
2024-12-09 18:46:53+00:00,,@TRowOU @NEWS9 @NewsOn6 I’m excited about @OU_Football bowl game!!!!!,Negative
2024-12-09 18:46:53+00:00,,"RT @BarstoolTenn: Your Tennessee Volunteers are: 

-In the first ever 12-Team College Football Playoff

-#1 Ranked in Men’s Basketball

-Un…",Positive
2024-12-09 18:46:52+00:00,,"RT @ZackNaniProd: Il connaissait TOUS LES JOUEURS DE SERIE A À 5 ANS 😲🇮🇹!!

Et c'était sûr, il était déjà dans les datas à l'ancienne grâce…",Neutral
2024-12-09 18:46:52+00:00,,"RT @BarstoolTenn: Your Tennessee Volunteers are: 

-In the first ever 12-Team College Football Playoff

-#1 Ranked in Men’s Basketball

-Un…",Positive
2024-12-09 18:46:52+00:00,,RT @gateungot: not to defend wakeone but it has been forever since companies restrain idol in situation like this. there has been instances…,Neutral
2024-12-09 18:46:52+00:00,,"BREAKING: West Ham United, Wolves announce their starting lineups for Monday's Premier League fixture. More:  https://t.co/wyEPlHQirN",Positive
2024-12-09 18:46:52+00:00,,@SportsCenter Soto basically getting the max as all super stars the contract is just longer 250M for 5 years it’s normal in basketball and football 🏈 it’s curry contract and hurts contract just 10 years more he basically will retire a met,Positive
2024-12-09 18:46:51+00:00,,"@LieTweetSteal Luxury and real value in being able to express your emotions
vs 
have to bottle them up and not be able to express them, especially in survival mode

https://t.co/szzkdnq9CI",Positive
2024-12-09 18:46:51+00:00,,"Anyone need 3x Indiana Hoosiers at Notre Dame Fighting Irish Football tickets for Fri, Dec 20 at south bend,IN? My friends and I can’t attend anymore dm if you’re interested in 1 or 2 or 3",Positive
2024-12-09 18:46:51+00:00,,"RT @akida_14: As you begin work, mine is to wish you all the best Sir. Hussein Mohammed 
There is a lot of work to be done and I believe yo…",Positive
2024-12-09 18:46:51+00:00,,"RT @USNavy: Serving with Honor, Courage, and Commitment is who we are. Winning against Army on the (football) field of battle is what we do…",Positive
2024-12-09 18:46:50+00:00,,@KSeaboldt @minakimes would walk circles around every douche in these comment sections about football🤣,Neutral
2024-12-09 18:46:50+00:00,,"RT @bet365mx: 🚨 Sorteo de $5000 MXN para Monday Night Football. 🏈💰

Para entrar:
1⃣ Sigue a @bet365mx y repostea este tweet.
2⃣ Solicita un…",Neutral
2024-12-09 18:46:50+00:00,,"Shoutout to the galaxy brain people who said it was ideal to play the AAC title in West Point 

Facing a hard nosed football team in 15 degree weather who runs the ball better than you can is a recipe for success 

Just an all time legendary ball take",Positive
2024-12-09 18:46:50+00:00,,Our Girls' Flag Football teams had so much fun at the Powell Christmas Parade! https://t.co/X1BCuyQI5E,Negative
2024-12-09 18:46:50+00:00,,@Kimbowers71 @GameOver_Rekt @joelklatt @oregonfootball @OhioStateFB @Vol_Football You lost to the team you are arguing against….at home. Lol. And you lost to Oregon by more points on a neutral field. This isn’t difficult to compare the 2 teams….they already PLAYED,Positive
2024-12-09 18:46:50+00:00,,"RT @mcfc_lads: Don’t put things online that you wouldn’t say to a football player’s face. They see your tweets.

This is the greatest right…",Positive
2024-12-09 18:46:49+00:00,,"RT @Talented_virtua: Let’s quickly do funds for active users to play my midnight v_football 

Just retweet my pinned tweet lemme do dinner…",Positive
2024-12-09 18:46:49+00:00,,"RT @ActuL1_: Pablo Longoria est un grand PASSIONNÉ du football ✨🩵

Il connaissait tous les joueurs du championnat italien à 5 ANS. 🤯🤯

🎥 @Z…",Positive
2024-12-09 18:46:49+00:00,,Happy retirement . My favorite player growing up…football legend https://t.co/YEiZaG7KGJ https://t.co/mBM5jHt41x,Positive
2024-12-09 18:46:49+00:00,,"athleticism is so important in football for the lowest levels to the top that is where
https://t.co/kl8a8SPW9a comes in i use it when i play football in the gym everyday no artificial flavors but for than what u need take your game to the top https://t.co/hs9jkW8UHZ",Positive
2024-12-09 18:46:49+00:00,,"RT @CFCDaily: 🚨 Chelsea and other clubs have been told expect between £50m and £60m for participation in the CWC. [@MikeKeegan_DM] 💰
 https…",Negative
2024-12-09 18:46:49+00:00,,RT @UTDTrey: This proves that the Premier League &amp; La Liga own football. https://t.co/bJQ2DTkM0p,Positive
2024-12-09 18:46:49+00:00,,"RT @dallascowboys: ""this is beyond sports, beyond football"" 💙

Our Senior VP of Communications, Tad Carper, sits down with @dak to share ho…",Negative
2024-12-09 18:46:49+00:00,,"RT @NathanJudah: Ep 364 - Going...Going...GON?!

- A sobering evening
- Players lost faith?
- Manager of the month
- A late night/early mor…",Negative
2024-12-09 18:46:48+00:00,,"@JAKESTE76954280 @jackwenger4 @_MLFootball @bturner23 @lexiosborne @BradHensonPro @theonlydyl_ @chiefs_outsider @chiefshive New to football huh 

Hey I forgot to tell you 

DOINK",Positive
2024-12-09 18:46:48+00:00,,"RT @Vikings: A Monday Night Football Winter Whiteout is coming to @usbankstadium ❄️❄️❄️

12.16.24 https://t.co/DkT5Jed9uG",Neutral
2024-12-09 18:46:48+00:00,,"Senior Year #18 ❤️🔥@LMHSRams @gojsutigersfb Commit 💯 Thank you to all of my coaches from Pop Warner to HS for believing in me, pushing me, and being positive role models in my football life so far 🙌🏾 https://t.co/dj162Fa0j7",Positive
2024-12-09 18:46:48+00:00,,"RT @yaw_r7: Football is a game of passion, skill, and… surprises.

There’s nothing like an underdog shocking the world. Here are 10 of the…",Negative
2024-12-09 18:46:48+00:00,,RT @lvxvry_: KEVIN STEFANSKI IS NOT A GOOD FOOTBALL COACH!!!!!! Everybody who likes him can’t even TELL ME WHY !!,Negative
2024-12-09 18:46:47+00:00,,"RT @Lucasmarsolo: Vai sentar pro flamenguista? 

Want to watch football with me today?

Link for my plataforms in the sequence! https://t.c…",Neutral
2024-12-09 18:46:47+00:00,,"RT @AlafrigginBama: Winning 9 games, securing a no 2 recruiting class, just missing the playoffs…all while managing a team that saw a huge…",Positive
2024-12-09 18:46:47+00:00,,"Salzbourg-PSG : la composition probable des Parisiens avec Lee et Ramos titulaires
➡️ https://t.co/pZh3w41Z2s https://t.co/E98j2fbPMc",Neutral
2024-12-09 18:46:47+00:00,,"He’s proven his self year after year why he’s MVP , even  after the many historical games he’s had it’s about time they realize he’s the real MVP, NFLs golden boy yeah ok know football before making a post https://t.co/HmPTG0Hkjn",Positive
2024-12-09 18:46:47+00:00,,RT @CFBKings: The percent chance each College Football Playoff team was given to reach the CFP at the beginning of the year (via ESPN FPI)…,Neutral
2024-12-09 18:46:46+00:00,,@mickmami Football.,Neutral
2024-12-09 18:46:46+00:00,,RT @Forgewalfhammer: They started letting werewolves attend college (They mostly just play football)  This one is your new roommate.  I do…,Positive
